#,英文,中文,字母,主題（精選 200）,會了✓
1,a/an,一(個),A,,
2,a few,一些,A,,
3,a little,一些,A,,
4,a lot,許多,A,,
5,a.m.,上午,A,,
6,able,能夠…的,A,,
7,about,關於,A,,
8,above,在…上方,A,,
9,abroad,在國外,A,,
10,across,在…對面,A,,
11,act,表演、行動,A,,
12,action,行動,A,,
13,actor,男演員,A,,
14,actress,女演員,A,,
15,actually,事實上,A,,
16,afraid,害怕的,A,,
17,after,在…之後,A,,
18,afternoon,下午,A,,
19,again,再一次,A,,
20,age,年齡,A,,
21,ago,以前,A,,
22,agree,同意,A,,
23,ahead,在前方,A,,
24,air,空氣,A,,
25,airplane (plane),飛機,A,,
26,airport,機場,A,,
27,all,全部的,A,,
28,allow,允許,A,,
29,almost,幾乎,A,,
30,along,沿著,A,,
31,already,已經,A,,
32,also,也,A,,
33,always,總是,A,,
34,America,美國,A,,
35,American,美國人；美國的,A,,
36,and,和,A,,
37,angle,角度,A,,
38,angry,生氣的,A,形容詞,
39,animal,動物,A,動物,
40,another,另一個的,A,,
41,answer,回答,A,,
42,ant,螞蟻,A,動物,
43,any,任何的,A,,
44,anyone (anybody),任何人,A,,
45,anything,任何事物,A,,
46,apartment,公寓,A,,
47,appear,出現,A,,
48,apple,蘋果,A,食物,
49,April,四月,A,時間／星期／月份,
50,area,地區、面積,A,,
51,arm,手臂、武裝,A,身體,
52,around,在…四周,A,,
53,arrive,到達,A,,
54,art,美術,A,,
55,as,與…一樣,A,,
56,ask,問,A,,
57,at,在,A,,
58,attack,攻擊,A,,
59,August,八月,A,時間／星期／月份,
60,aunt,伯(叔)母,A,家庭,
61,autumn (fall),秋天,A,,
62,away,遠離,A,,
63,baby,嬰兒,B,家庭,
64,back,在…後面,B,身體,
65,bad,壞的,B,形容詞,
66,badminton,羽毛球,B,,
67,bag,袋子,B,,
68,bake,烘烤,B,,
69,bakery,麵包店,B,,
70,balcony,陽台,B,,
71,banana,香蕉,B,食物,
72,band,樂團,B,,
73,bank,銀行,B,,
74,baseball,棒球,B,,
75,basket,籃子,B,,
76,basketball,籃球,B,,
77,bat,蝙蝠,B,,
78,bath,洗澡,B,,
79,bathroom,浴室,B,,
80,"be (am, is, are, was, were, been)",是,B,,
81,beach,海灘,B,,
82,bean,豆,B,,
83,bear,熊,B,動物,
84,beautiful,美麗的,B,形容詞,
85,because,因為,B,,
86,become,變成,B,,
87,bed,床,B,,
88,bedroom,臥室,B,,
89,bee,蜜蜂,B,,
90,beef,牛肉,B,食物,
91,before,在…之前,B,,
92,begin,開始,B,,
93,behind,在…後面,B,,
94,believe,相信,B,,
95,bell,鈴,B,,
96,belong,屬於,B,,
97,below,在…下方,B,,
98,belt,皮帶,B,,
99,bench,長椅,B,,
100,beside,在…旁邊,B,,
101,between,在…之間,B,,
102,bicycle (bike),腳踏車,B,,
103,big,大的,B,形容詞,
104,bird,鳥,B,動物,
105,birthday,生日,B,,
106,bite,咬,B,,
107,black,黑色(的),B,顏色,
108,blackboard,黑板,B,,
109,blank,空白(的),B,,
110,blanket,毯子,B,,
111,blind,瞎的,B,,
112,block,街區,B,,
113,blow,吹,B,,
114,blue,藍色(的),B,顏色,
115,boat,船,B,,
116,body,身體,B,身體,
117,boil,煮沸,B,,
118,book,書,B,學校,
119,bookstore,書店,B,,
120,bored,感到厭煩的,B,,
121,boring,無聊的,B,,
122,born,出生,B,,
123,borrow,借入,B,,
124,boss,老闆,B,,
125,both,兩者都,B,,
126,bottle,瓶子,B,,
127,bottom,底部,B,,
128,bow,敬禮,B,,
129,bowl,碗,B,,
130,box,盒子,B,,
131,boy,男孩,B,,
132,brave,勇敢的,B,,
133,bread,麵包,B,食物,
134,break,打破,B,,
135,breakfast,早餐,B,,
136,bridge,橋,B,,
137,bright,明亮的,B,,
138,bring,帶來,B,,
139,brother,兄弟,B,家庭,
140,brown,棕色(的),B,顏色,
141,brush,刷,B,,
142,bug,小蟲,B,,
143,build,建造,B,,
144,bun,小圓麵包,B,,
145,burn,燃燒,B,,
146,bus,公車,B,,
147,business,生意,B,,
148,businessman,商人,B,,
149,busy,忙碌的,B,,
150,but,但是,B,,
151,butter,奶油,B,,
152,butterfly,蝴蝶,B,,
153,button,按鈕、鈕扣,B,,
154,buy,買,B,,
155,by,藉著,B,,
156,cake,蛋糕,C,食物,
157,call,打電話,C,,
158,camera,照相機,C,,
159,camp,露營,C,,
160,can,能夠,C,,
161,could,能夠(can 的過去式),C,,
162,candle,蠟燭,C,,
163,candy,糖果,C,食物,
164,cap,(無邊)帽,C,,
165,car,車子,C,,
166,card,卡片,C,,
167,care,關心,C,,
168,careful,仔細的,C,,
169,carry,攜帶,C,,
170,case,情形,C,,
171,castle,城堡,C,,
172,cat,貓,C,動物,
173,catch,趕上,C,,
174,celebrate,慶祝,C,,
175,cellphone,手機,C,,
176,cent,〈一〉分錢,C,,
177,center,中心,C,,
178,centimeter,公分,C,,
179,chair,椅子,C,學校,
180,chalk,粉筆,C,,
181,chance,機會,C,,
182,change,交換、零錢,C,,
183,cheap,便宜的,C,,
184,cheat,欺騙,C,,
185,check,檢查,C,,
186,cheer,歡呼,C,,
187,cheese,乳酪,C,,
188,chicken,雞肉,C,食物,
189,child,小孩,C,,
190,China,中國,C,,
191,Chinese,中國人、中文,C,,
192,chocolate,巧克力,C,,
193,choice,選擇,C,,
194,choose,選擇,C,,
195,chopsticks,筷子,C,,
196,Christmas,聖誕節,C,,
197,church,教堂,C,,
